Feature,Importance
 Fwd Packet Length Mean,0.08151817958749558
 Fwd Packet Length Max,0.07997946657880127
 Avg Fwd Segment Size,0.0665817750352123
 Subflow Fwd Bytes,0.06109789915649752
Init_Win_bytes_forward,0.060265884845018554
 act_data_pkt_fwd,0.05140915367963288
Total Length of Fwd Packets,0.04622445137002762
 Bwd Packet Length Min,0.04608462573453319
Subflow Fwd Packets,0.03979519076975126
 Fwd Header Length.1,0.03753035664537914
 Fwd IAT Std,0.03612371411279501
Fwd IAT Total,0.03575493661624038
 Fwd IAT Max,0.030273726376566515
 Fwd Header Length,0.028749993349654435
 Fwd IAT Mean,0.028494557128090455
 Fwd Packet Length Std,0.028309672982302473
 Total Fwd Packets,0.026251739120772444
 Bwd Header Length,0.017265302085017982
 Bwd Packet Length Std,0.012887934220693996
Bwd Packet Length Max,0.012833978790811596
 Avg Bwd Segment Size,0.012765401734479164
 Average Packet Size,0.01231278821053362
 Init_Win_bytes_backward,0.011801597951281372
 Bwd IAT Max,0.011568401652144001
 Subflow Bwd Packets,0.011194023759132164
 Total Backward Packets,0.010851574706097619
 Total Length of Bwd Packets,0.010691654442534398
 Bwd IAT Mean,0.009496593710790303
 Bwd Packets/s,0.00939904910589828
 Bwd Packet Length Mean,0.00662632468174721
 Flow IAT Std,0.006415094448287811
 Fwd IAT Min,0.005709910408362442
 Max Packet Length,0.005483785819698067
 Packet Length Std,0.005215644641249754
 Subflow Bwd Bytes,0.005194662108195191
 Packet Length Mean,0.005180147209943545
 Packet Length Variance,0.0049577606544528125
 Flow Duration,0.004115291318449564
Bwd IAT Total,0.003652793692537968
 Fwd Packet Length Min,0.0026031931396009234
 min_seg_size_forward,0.0025976061342530663
 Bwd IAT Std,0.002086230660978032
 Min Packet Length,0.0017605363712386338
 Flow IAT Max,0.001642731539064909
 Flow Packets/s,0.0014954781309210465
 URG Flag Count,0.001416270378997297
Fwd Packets/s,0.0013008378169180677
 Flow IAT Min,0.0009520735479445048
 Flow IAT Mean,0.0009009651680344417
 Active Max,0.0006993569267875289
Flow Bytes/s,0.0005381993104696252
 Down/Up Ratio,0.00044494032142179397
 Active Std,0.0003664992365416292
 PSH Flag Count,0.0002738930733442109
 Protocol,0.00022155144508363039
 Bwd IAT Min,0.0001863255851039984
FIN Flag Count,0.00011470591319484932
 ACK Flag Count,9.005764302650563e-05
 Idle Min,6.654699760587169e-05
Idle Mean,5.296123460649679e-05
 Idle Max,5.160002994139701e-05
 Active Min,2.739301079602118e-05
 SYN Flag Count,2.1864035631175903e-05
Active Mean,1.473630883850784e-05
 Idle Std,4.323551506414905e-06
Fwd PSH Flags,4.084047039367873e-06
 RST Flag Count,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
 CWE Flag Count,0.0
 ECE Flag Count,0.0
