Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Prediction_Class,Prediction_Probability,Risk_Score,Alert_Triggered
172.16.0.1-192.168.10.50-61405-80-6,172.16.0.1,61405,192.168.10.50,80,6,7/7/2017 4:12,1750336,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,6642.724597,3.999232147,291722.6667,711251.9973,1743553,53,6546,3273,3456.337946,5717,829,1750268,583422.6667,1004707.352,1743553,184,0,0,0,0,72,92,1.713956635,2.285275513,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9928,Critical,YES
172.16.0.1-192.168.10.50-50592-80-6,172.16.0.1,50592,192.168.10.50,80,6,7/7/2017 3:57,34052,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,341624.5742,264.3016563,4256.5,11504.85899,32726,2,874,437,432.7493501,743,131,33913,6782.6,14507.79199,32726,2,0,0,0,0,72,132,88.1005521,176.2011042,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
192.168.10.15-31.13.71.36-59720-443-6,192.168.10.15,59720,31.13.71.36,443,6,7/7/2017 4:22,63209728,7,2,187,92,46,6,26.71428571,20.0890873,46,46,46,0,4.41387756,0.142383147,7901216,20700000,58900000,3,63200000,10500000,23800000,58900000,3,59000000,59000000,0,59000000,59000000,1,0,0,0,140,40,0.110742448,0.031640699,6,46,32.5,18.86354509,355.8333333,0,1,0,0,1,0,0,0,0,36.11111111,26.71428571,46,140,0,0,0,0,0,0,7,187,2,92,257,132,6,20,91730,0,91730,91730,58900000,0,58900000,58900000,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-64983-80-6,172.16.0.1,64983,192.168.10.50,80,6,7/7/2017 4:04,117219,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,99190.40429,59.71728133,19536.5,46151.08278,113724,48,3194,1597,1264.306925,2491,703,117171,39057,64681.72352,113724,189,0,0,0,0,72,92,25.59312057,34.12416076,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
172.217.7.2-192.168.10.16-80-57866-6,172.217.7.2,80,192.168.10.16,57866,6,7/7/2017 4:47,97,1,1,0,0,0,0,0,0,0,0,0,0,0,20618.5567,97,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10309.27835,10309.27835,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,241,0,32,0,0,0,0,0,0,0,0,BENIGN,0.1041,Low,NO
192.168.10.3-192.168.10.17-53-44166-17,192.168.10.17,44166,192.168.10.3,53,17,7/7/2017 3:35,218,2,2,90,206,45,45,45,0,103,103,103,0,1357798.165,18348.62385,72.66666667,124.1303079,216,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,9174.311927,9174.311927,45,103,68.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,85.25,45,103,64,0,0,0,0,0,0,2,90,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
172.16.0.1-192.168.10.50-18705-80-6,172.16.0.1,18705,192.168.10.50,80,6,7/7/2017 3:59,42941,3,4,26,11601,20,0,8.666666667,10.26320288,8675,0,2900.25,4088.041942,270766.8662,163.0143686,7156.833333,11890.35872,28940,7,13765,6882.5,9061.573401,13290,475,42934,14311.33333,14383.13305,28940,187,0,0,0,0,72,92,69.86330081,93.15106774,0,8675,1453.375,3091.095642,9554872.268,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9901,Critical,YES
172.16.0.1-192.168.10.50-41934-80-6,172.16.0.1,41934,192.168.10.50,80,6,7/7/2017 4:15,11771641,5,0,30,0,6,6,6,0,0,0,0,0,2.548497699,0.424749616,2942910.25,5885199.167,11800000,197,11800000,2942910.25,5885199.167,11800000,197,0,0,0,0,0,0,0,0,0,100,0,0.424749616,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,932,0,932,932,11800000,0,11800000,11800000,DDoS,0.7297,Medium,NO
151.101.1.28-192.168.10.19-443-37193-6,151.101.1.28,443,192.168.10.19,37193,6,7/7/2017 3:41,266,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0,0,116541.3534,11278.19549,133,121.6223664,219,47,266,133,121.6223664,219,47,0,0,0,0,0,0,0,0,0,96,0,11278.19549,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0,96,0,0,0,0,0,0,3,31,0,0,61,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
172.16.0.1-192.168.10.50-60898-80-6,172.16.0.1,60898,192.168.10.50,80,6,7/7/2017 4:02,78559348,8,6,56,11607,20,0,7,5.656854249,5840,0,1934.5,2538.919278,148.4610081,0.178209218,6043026.769,19400000,70200000,14,78500000,11200000,26200000,70200000,48,70602,14120.4,30900.70672,69393,14,0,0,0,0,172,132,0.101833839,0.076375379,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,725,0,725,725,39200000,43800000,70200000,8242625,DDoS,0.7297,Medium,NO
