Feature,Importance
 Fwd Packet Length Mean,0.09492590386513465
 Avg Fwd Segment Size,0.07779306614040335
 Fwd Packet Length Max,0.06434764251967613
 Subflow Fwd Bytes,0.060603385467965905
Init_Win_bytes_forward,0.055045564865527086
Total Length of Fwd Packets,0.05049375944201198
 Bwd Packet Length Min,0.04586589566168913
 act_data_pkt_fwd,0.04557041764140303
 Fwd IAT Mean,0.04078584233876001
 Total Fwd Packets,0.03605157390384129
Fwd IAT Total,0.033488103044539135
 Fwd Header Length,0.03289303350883501
 Fwd Header Length.1,0.032590421316501854
 Fwd IAT Max,0.03045926894342837
 Fwd IAT Std,0.030222370871154685
Subflow Fwd Packets,0.02302160123851521
 Fwd Packet Length Std,0.01945165311255966
Bwd Packet Length Max,0.019220755606229205
 Bwd Header Length,0.017827390629537872
 Init_Win_bytes_backward,0.015299301950655672
 Bwd Packet Length Std,0.012961700214334236
 Bwd Packet Length Mean,0.01104992134497012
 Average Packet Size,0.010608702754518083
 Bwd Packets/s,0.010591844139625519
 Flow IAT Std,0.0104065839830172
 Total Length of Bwd Packets,0.009307540831972038
 Bwd IAT Mean,0.008628606624711314
 Subflow Bwd Bytes,0.008186680952086859
Bwd IAT Total,0.007845876013693867
 Subflow Bwd Packets,0.007772763145772437
 Avg Bwd Segment Size,0.007179985108293096
 Bwd IAT Max,0.00683654705489262
 Total Backward Packets,0.006268357997096058
 Protocol,0.005276739358856629
 Flow IAT Max,0.00474209082988739
 Flow Packets/s,0.004517406681589507
 Packet Length Mean,0.004175520994474703
 Fwd IAT Min,0.0040855848844205955
 Max Packet Length,0.003814784285063777
 Min Packet Length,0.003471544156629224
 URG Flag Count,0.002880801146202023
Fwd Packets/s,0.0026753523400280354
 Packet Length Variance,0.0021325113061042844
 PSH Flag Count,0.002128853358276396
Flow Bytes/s,0.002079355950159584
 Flow IAT Mean,0.0020497261911621885
 Fwd Packet Length Min,0.0018909527700116111
 Down/Up Ratio,0.0017748278930313048
 min_seg_size_forward,0.0016537968990768981
 Flow Duration,0.0015707698787140083
 Bwd IAT Std,0.0015459541983840765
 Packet Length Std,0.0015184921980470163
 Bwd IAT Min,0.0011257749120097064
 Flow IAT Min,0.0006951646198852338
Idle Mean,0.00017367717589932417
 ACK Flag Count,0.0001442716245024946
 Active Min,8.779643674689814e-05
 Active Std,5.089557139893753e-05
 SYN Flag Count,5.066509503744107e-05
 Idle Min,5.020090344512257e-05
 Active Max,2.9428235484209406e-05
 Idle Std,4.9978721185396344e-06
 RST Flag Count,0.0
FIN Flag Count,0.0
 Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
 Bwd URG Flags,0.0
 Fwd URG Flags,0.0
 CWE Flag Count,0.0
 ECE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Active Mean,0.0
 Idle Max,0.0
